name,key,line,active,latitude,longitude
Novena MRT Station,Novena MRT,North-South,1,1.3204301,103.8438181
Novena MRT Station,Novena Stn,North-South,1,1.3204301,103.8438181
Novena MRT Station,Novena Station,North-South,1,1.3204301,103.8438181
Great World MRT Station,Great World MRT,Thomson-East,0,nan,nan
Dover MRT Station,Dover MRT,East-West,1,1.311322,103.7786532
Ubi MRT Station,Ubi MRT,Downtown,0,1.3298687,103.900048
Mayflower MRT Station,Mayflower MRT,Thomson-East,0,nan,nan
Boon Keng MRT Station,Boon Keng MRT,North-East,1,1.3198587,103.8618306
Boon Keng MRT Station,Boon Keng Stn,North-East,1,1.3198587,103.8618306
Boon Keng MRT Station,Boon Keng Station,North-East,1,1.3198587,103.8618306
Somerset MRT Station,Somerset MRT,North-South,1,1.3005915,103.838529
Redhill MRT Station,Redhill MRT,East-West,1,1.2896276,103.8167623
Springleaf MRT Station,Springleaf MRT,Thomson-East,0,nan,nan
Tanjong Rhu MRT Station,Tanjong Rhu,Thomson-East,1,1.301046,103.883717
Prince Edward MRT Station,Prince Edward MRT,Circle,0,1.273262,103.847308
Napier MRT Station,Napier MRT,Thomson-East,0,nan,nan
Bras Basah MRT Station,Bras Basah,Circle,1,1.2969443,103.8507941
Nicoll Highway MRT Station,Nicoll Highway,Circle,1,1.3023492,103.8656834
Bright Hill MRT Station,Bright Hill MRT,Thomson-East,0,nan,nan
Beauty World MRT Station,Beauty World MRT,Downtown,0,1.3416921,103.775966
Bugis MRT Station,Bugis MRT,East-West;Downtown,1,1.3010989,103.8561152
Bugis MRT Station,Bugis Stn,East-West;Downtown,1,1.3010989,103.8561152
Bugis MRT Station,Bugis Station,East-West;Downtown,1,1.3010989,103.8561152
Little India MRT Station,Little India MRT,North-East;Downtown,1,1.3062896,103.8493919
Little India MRT Station,Little India Stn,North-East;Downtown,1,1.3062896,103.8493919
Little India MRT Station,Little India Station,North-East;Downtown,1,1.3062896,103.8493919
Marine Parade MRT Station,Marine Parade MRT,Thomson-East,0,1.3263,103.8304146
Marine Parade MRT Station,Marine Parade Stn,Thomson-East,0,1.3263,103.8304146
Marine Parade MRT Station,Marine Parade Station,Thomson-East,0,1.3263,103.8304146
Havelock MRT Station,Havelock MRT,Thomson-East,0,1.288238,103.833603
Maxwell MRT Station,Maxwell MRT,Thomson-East,0,1.276747,103.8451151
Sengkang MRT Station,Sengkang MRT,North-East,1,1.3915277,103.8954161
Sengkang MRT Station,Sengkang Stn,North-East,1,1.3915277,103.8954161
Sengkang MRT Station,Sengkang Station,North-East,1,1.3915277,103.8954161
Outram Park MRT Station,Outram Park MRT,East-West;Northeast,1,1.2814585,103.8391464
Outram Park MRT Station,Outram Park Stn,East-West;Northeast,1,1.2814585,103.8391464
Outram Park MRT Station,Outram Park Station,East-West;Northeast,1,1.2814585,103.8391464
Changi Airport MRT Station,Changi Airport,East-West,1,1.3644202,103.9915308
Upper Thomson MRT Station,Upper Thomson,Thomson-East,1,1.3728883,103.8285113
Kembangan MRT Station,Kembanagan,East-West,1,1.321049,103.912909
Aljunied MRT Station,Aljunied,East-West,1,1.3164325,103.882906
Pasir Panjang MRT Station,Pasir Panjang MRT,Circle,1,1.2760331,103.7919041
Pasir Panjang MRT Station,Pasir Panjang Stn,Circle,1,1.2760331,103.7919041
Pasir Panjang MRT Station,Pasir Panjang Station,Circle,1,1.2760331,103.7919041
Bukit Brown MRT Station,Bukit Brown,Circle,1,1.3361057,103.8229846
Commonwealth MRT Station,Commonwealth MRT,East-West,1,1.3024476,103.7982907
Tampines MRT Station,Tampines,East-West;Downtown,1,1.3495907,103.9567879
Pasir Ris MRT Station,Pasir Ris,East-West,1,1.3720937,103.9473728
Bedok North MRT Station,Bedok North,Downtown,0,1.3236038,103.9273405
Tai Seng MRT Station,Tai Seng MRT,Circle,1,1.3359176,103.8876833
Tai Seng MRT Station,Tai Seng Stn,Circle,1,1.3359176,103.8876833
Tai Seng MRT Station,Tai Seng Station,Circle,1,1.3359176,103.8876833
Raffles Place MRT Station,Raffles Place,North-South;East-West,1,1.2840999,103.8513269
Khatib MRT Station,Khatib MRT,North-South,1,1.4173489,103.8330221
Khatib MRT Station,Khatib Stn,North-South,1,1.4173489,103.8330221
Khatib MRT Station,Khatib Station,North-South,1,1.4173489,103.8330221
Katong Park MRT Station,Katong Park MRT,Thomson-East,0,nan,nan
Katong Park MRT Station,Katong Park Stn,Thomson-East,0,nan,nan
Katong Park MRT Station,Katong Park Station,Thomson-East,0,nan,nan
Chinatown MRT Station,Chinatown MRT,North-East;Downtown,1,1.2847875,103.8439312
Potong Pasir MRT Station,Potong Pasir,North-East,1,1.3311575,103.8690734
Esplanade MRT Station,Esplanade MRT,Circle,1,1.293436,103.855381
Labrador Park MRT Station,Labrador Park MRT,Circle,1,1.2722052,103.8024245
Labrador Park MRT Station,Labrador Park Stn,Circle,1,1.2722052,103.8024245
Labrador Park MRT Station,Labrador Park Station,Circle,1,1.2722052,103.8024245
Pioneer MRT Station,Pionner MRT,East-West,1,1.3373141,103.6968636
Kranji MRT Station,Kranji MRT,North-South,1,1.4251684,103.7619192
Kranji MRT Station,Kranji Stn,North-South,1,1.4251684,103.7619192
Kranji MRT Station,Kranji Station,North-South,1,1.4251684,103.7619192
Bartley MRT Station,Bartley MRT,Circle,1,1.3423252,103.8802484
Jurong East MRT Station,Jurong East,North-South;East-West,1,1.3328572,103.7435522
Siglap MRT Station,Siglap,Thomson-East,1,1.313587,103.923105
Marina South Pier MRT Station,Marina South Pier,North-South,1,1.2709313,103.8634015
Lavender MRT Station,Lavender MRT,East-West,1,1.3072265,103.862951
Bukit Gombak MRT Station,Bukit Gombak,North-South,1,1.3590369,103.7518278
Clarke Quay MRT Station,Clarke Quay,North-East,1,1.2906024,103.8464742
Bedok MRT Station,Bedok,East-West,1,1.3236038,103.9273405
Tanjong Katong MRT Station,Tanjong Katong,Thomson-East,1,1.3083201,103.897576
King Albert Park MRT Station,King Albert Park,Downtown,1,1.3357575,103.7831752
Admiralty MRT Station,Admiralty MRT,North-South,1,1.4405862,103.800975
Keppel MRT Station,Keppel MRT,Circle,0,nan,nan
Keppel MRT Station,Keppel Stn,Circle,0,nan,nan
Keppel MRT Station,Keppel station,Circle,0,nan,nan
Bencoolen MRT Station,Bencoolen MRT,Downtown,0,1.2988643,103.8503843
Bencoolen MRT Station,Bencoolen Stn,Downtown,0,1.2988643,103.8503843
Bencoolen MRT Station,Bencoolen Station,Downtown,0,1.2988643,103.8503843
Bayfront MRT Station,Bayfront MRT,Circle,1,1.2813448,103.8589484
Bayfront MRT Station,Bayfront Stn,Circle,1,1.2813448,103.8589484
Braddell MRT Station,Braddell MRT,North-South,1,1.3404334,103.8468013
Braddell MRT Station,Braddell Stn,North-South,1,1.3404334,103.8468013
Braddell MRT Station,Braddell Station,North-South,1,1.3404334,103.8468013
Farrer Park MRT Station,Farrer Park MRT,North-East,1,1.3124557,103.8548207
Farrer Park MRT Station,Farrer Park Stn,North-East,1,1.3124557,103.8548207
Farrer Park MRT Station,Farrer Park Station,North-East,1,1.3124557,103.8548207
Tan Kah Kee MRT Station,Tan Kah Kee MRT,Downtown,0,1.3253631,103.8077988
Tan Kah Kee MRT Station,Tan Kah Kee Stn,Downtown,0,1.3253631,103.8077988
Tan Kah Kee MRT Station,Tan Kah Kee Station,Downtown,0,1.3253631,103.8077988
Gardens by the Bay MRT Station,Gardens by the Bay,Thomson-East,1,1.2815683,103.8636132
Punggol MRT Station,Punggol,North-East,1,1.3984457,103.9072046
Kovan MRT Station,Kovan MRT,North-East,1,1.3599937,103.8853009
Kovan MRT Station,Kovan Stn,North-East,1,1.3599937,103.8853009
Kovan MRT Station,Kovan Station,North-East,1,1.3599937,103.8853009
Geylang Bahru MRT Station,Geylang Bahru,Downtown,0,1.3237331,103.8683218
Marymount MRT Station,Marymount MRT,Circle,1,1.3485243,103.8394989
Marymount MRT Station,Marymount Stn,Circle,1,1.3485243,103.8394989
Marymount MRT Station,Marymount Station,Circle,1,1.3485243,103.8394989
Orchard Boulevard MRT Station,Orchard Boulevard MRT,Thomson-East,0,1.3735716,103.7984607
Sungei Bedok MRT Station,Sungei Bedok,Downtown,1,1.3201731,103.9568273
Marina Bay MRT Station,Marina Bay MRT,North-South,1,1.2764274,103.8545978
Marina Bay MRT Station,Marina Bay Stn,North-South,1,1.2764274,103.8545978
Marina Bay MRT Station,Marina Bay Station,North-South,1,1.2764274,103.8545978
Serangoon MRT Station,Serangoon,North-East;Circle,1,1.3553567,103.8678708
Buangkok MRT Station,Buangkok MRT,North-East,0,1.3830715,103.8931105
Cantonment MRT Station,Cantonment MRT,Circle,0,1.272992,103.838635
Tampines West MRT Station,Tampines West,Downtown,0,1.3487786,103.935734
Boon Lay MRT Station,Boon Lay,East-West,1,1.3385559,103.7058277
Bukit Batok MRT Station,Bukit Batok,North-South,1,1.3590288,103.7636796
Telok Blangah MRT Station,Telok Blangah,Circle,1,1.2706894,103.8098756
Joo Koon MRT Station,Joo Koon,East-West,1,1.3277507,103.6783297
Yew Tee MRT Station,Yew Tee,North-South,1,1.3973811,103.7475
Woodleigh MRT Station,Woodleigh MRT,North-East,1,1.3389179,103.8704719
Woodleigh MRT Station,Woodleigh Stn,North-East,1,1.3389179,103.8704719
Woodleigh MRT Station,Woodleigh Station,North-East,1,1.3389179,103.8704719
Hougang MRT Station,Hougang,North-East,1,1.3612182,103.8862529
Kent Ridge MRT Station,Kent Ridge,Circle,1,1.292524,103.784902
Haw Par Villa MRT Station,Haw Par Villa,Circle,1,1.2835657,103.7816432
Tuas Link MRT Station,Tuas Link,East-West,1,1.3403171,103.6368663
Paya Lebar MRT Station,Paya Lebar,East-West;Circle,1,1.3516087,103.899516
Woodlands MRT Station,Woodlands MRT,North-South,1,1.436955,103.7864845
Woodlands MRT Station,Woodlands Stn,North-South,1,1.436955,103.7864845
Woodlands MRT Station,Woodlands Station,North-South,1,1.436955,103.7864845
Dakota MRT Station,Dakota MRT,Circle,1,1.3079962,103.8880879
Queenstown MRT Station,Queenstown MRT,East-West,1,1.2952659,103.8056329
Holland Village MRT Station,Holland Village MRT,Circle,1,1.3111325,103.7961377
Holland Village MRT Station,Holland Village Stn,Circle,1,1.3111325,103.7961377
Holland Village MRT Station,Holland V MRT,Circle,1,1.3111325,103.7961377
Holland Village MRT Station,Holland V Stn,Circle,1,1.3111325,103.7961377
HarbourFront MRT Station,HarborFront MRT,North-East,1,1.2659167,103.8209079
HarbourFront MRT Station,HarborFront Stn,North-East,1,1.2659167,103.8209079
HarbourFront MRT Station,HarborFront Station,North-East,1,1.2659167,103.8209079
Kallang MRT Station,Kallang,East-West,1,1.3100334,103.8651056
Marsiling MRT Station,Marsiling,North-South,1,1.4325197,103.774119
Xilin MRT Station,Xilin MRT,Downtown,0,1.3288787,103.9648084
Buona Vista MRT Station,Buona Vista,East-West;Circle,1,1.3073194,103.7899422
Mount Pleasant MRT Station,Mount Pleasant MRT,Thomson-East,0,nan,nan
Expo MRT Station,Expo MRT,East-West;Downtown,1,1.3352467,103.9619976
Farrer Road MRT Station,Farrer Road,Circle,1,1.3175815,103.8077576
Lorong Chuan MRT Station,Lorong Chuan,Circle,1,1.3514809,103.8646643
Stevens MRT Station,Stevens MRT,Downtown,0,1.3200527,103.8258215
Stevens MRT Station,Stevens Stn,Downtown,0,1.3200527,103.8258215
Stevens MRT Station,Stevens Station,Downtown,0,1.3200527,103.8258215
Telok Ayer MRT Station,Telok Ayer,Downtown,1,1.2811232,103.8478471
Lakeside MRT Station,Lakeside MRT,East-West,1,1.3442374,103.7207253
Tanah Merah MRT Station,Tanah Merah,East-West,1,1.327276,103.946541
Choa Chu Kang MRT Station,Choa Chu Kang,North-South,1,1.3839803,103.7469611
Choa Chu Kang MRT Station,Chua Chu Kang,North-South,1,1.3839803,103.7469611
Promenade MRT Station,Promenade MRT,Circle;Downtown,1,1.2938528,103.860021
Mountbatten MRT Station,Mountbatten MRT,Circle,1,1.3061938,103.882547
Mountbatten MRT Station,Mount Batten MRT,Circle,1,1.3061938,103.882547
Tanjong Pagar MRT Station,Tanjong Pagar,East-West,1,1.2764031,103.8468585
Downtown MRT Station,Downtown MRT,Downtown,0,1.279467,103.8524576
Cashew MRT Station,Cashew MRT,Downtown,0,1.3699218,103.7645493
Bishan MRT Station,Bishan,North-South;Circle,1,1.3525845,103.8352116
Tampines East MRT Station,Tampines East,Downtown,0,1.3533483,103.9546705
Simei MRT Station,Simei,East-West,1,1.3399194,103.949471
Clementi MRT Station,Clementi MRT,East-West,1,1.3151606,103.765206
Clementi MRT Station,Clementi Stn,East-West,1,1.3151606,103.765206
Clementi MRT Station,Clementi Station,East-West,1,1.3151606,103.765206
Ang Mo Kio MRT Station,Ang Mo Kio,North-South,1,1.3691149,103.8454342
Yio Chu Kang MRT Station,Yio Chu Kang,North-South,1,1.3817576,103.8448008
Botanic Gardens MRT Station,Botanic Gardens MRT,Circle;Downtown,1,1.3221102,103.8149828
Botanic Gardens MRT Station,Botanical Gardens MRT,Circle;Downtown,1,1.3221102,103.8149828
Orchard MRT Station,Orchard MRT,North-South,1,1.3045879,103.8319307
Dhoby Ghaut MRT Station,Dhoby Ghaut,North-South;North-East;Circle,1,1.2997055,103.8454882
Caldescott MRT Station,Caldescott,Circle,1,1.337691,103.839552
Bedok South MRT Station,Bedok South MRT,Thomson-East,0,1.3240113,103.9301725
Sixth Avenue MRT Station,Sixth Avenue MRT,Downtown,0,1.3312349,103.7968943
Yishun MRT Station,Yishun,North-South,1,1.430368,103.8353628
Kaki Bukit MRT Station,Kaki Bukit MRT,Downtown,0,1.334927,103.909016
Kaki Bukit MRT Station,Kaki Bukit Stn,Downtown,0,1.334927,103.909016
Kaki Bukit MRT Station,Kaki Bukit Station,Downtown,0,1.334927,103.909016
Woodlands North MRT Station,Woodlands North MRT,Thomson-East,0,1.4497204,103.7850973
Marine Terrace MRT Station,Marine Terrace MRT,Thomson-East,0,1.3263,103.8304146
Lentor MRT Station,Lentor MRT,Thomson-East,0,1.3842975,103.8370838
Tuas West Road MRT Station,Tuas West Road,East-West,1,1.3325802,103.6405559
Bayshore MRT Station,Bayshore MRT,Thomson-East,0,nan,nan
Gul Circle MRT Station,Gul Circle,East-West,1,1.319846,103.6694219
Marina South MRT Station,Marina South MRT,Thomson-East,0,1.2713951,103.8636337
Newton MRT Station,Newton MRT,North-South;Downtown,1,1.3136071,103.837811
Woodlands South MRT Station,Woodlands South MRT,Thomson-East,0,1.427337,103.7932308
Stadium MRT Station,Stadium MRT,Circle,1,1.3025028,103.8745655
Mattar MRT Station,Mattar MRT,Downtown,0,1.3272214,103.8828949
Upper Changi MRT Station,Upper Changi,Downtown,1,1.3450101,103.9832089
Canberra MRT Station,Canberra MRT,North-South,1,1.443806,103.829185
Chinese Garden MRT Station,Chinese Garden MRT,East-West,1,1.3423597,103.7325541
Chinese Garden MRT Station,Chinese Garden Stn,East-West,1,1.3423597,103.7325541
Chinese Garden MRT Station,Chinese Garden Station,East-West,1,1.3423597,103.7325541
Rochor MRT Station,Rochor,Downtown,1,1.3051345,103.8509134
Hillview MRT Station,Hillview MRT,Downtown,0,1.3621275,103.7670071
Eunos MRT Station,Eunos MRT,East-West,1,1.3197777,103.9028587
Eunos MRT Station,Eunos Stn,East-West,1,1.3197777,103.9028587
Eunos MRT Station,Eunos Station,East-West,1,1.3197777,103.9028587
Jalan Besar MRT Station,Jalan Besar,Downtown,1,1.3085592,103.8573369
Tuas Crescent MRT Station,Tuas Crescent,East-West,1,1.3178201,103.6396998
Tiong Bahru MRT Station,Tiong Bahru,East-West,1,1.2865598,103.8247352
Shenton Way MRT Station,Shenton Way,Thomson-East,1,1.2757729,103.8479732
City Hall MRT Station,City Hall MRT,North-South;East-West,1,1.2930893,103.8519267
Fort Canning MRT Station,Fort Canning,Downtown,1,1.2941149,103.8463071
Bukit Panjang MRT Station,Bukit Panjang,Downtown,1,1.3774142,103.7719498
MacPherson MRT Station,MacPherson MRT,Circle;Downtown,1,1.3267424,103.8898817
MacPherson MRT Station,MacPherson Stn,Circle;Downtown,1,1.3267424,103.8898817
MacPherson MRT Station,Mac Pherson MRT,Circle;Downtown,1,1.3267424,103.8898817
Bedok Reservoir MRT Station,Bedok Reservoir,Downtown,1,1.3413025,103.9245499
Sembawang MRT Station,Sembawang,North-South,1,1.4491107,103.8184954
one-north MRT Station,one-north,Circle,1,1.299932,103.787442
Toa Payoh MRT Station,Toa Payoh,North-South,1,1.3343035,103.8563265
Bendemeer MRT Station,Bendemeer MRT,Downtown,0,1.3136722,103.862978
Bendemeer MRT Station,Bendemeer Stn,Downtown,0,1.3136722,103.862978
Bendemeer MRT Station,Bendemeer Station,Downtown,0,1.3136722,103.862978